,Unnamed: 0.1,Unnamed: 0,neighborhood,city,street,description,area,rooms,parking,bathrooms,lat,lon
402,12,12,Jardim Paraíso, São José dos Campos,Rua Ilha do Sul,"Excelente Apartamento no Jd America - Localização Excelente
Apenas 1 quadra da Av Bacabal, Mercado Coop e Padaria Flor de Ype

EDIFICIO ESSENCIA PARAISO - ENTREGA EM JUNHO DE 2024
ANDAR MÉDIO - SOL DA TARDE

Características:
3 Dormitórios sendo 1 Suíte
1 Banheiro Social
Sala Ampla para 2 Ambientes
Sacada com Churrasqueira a Carvão
Cozinha Americana
1 Vaga de Garagem Subsolo

Diferencias:
Piso Porcelanato
Persianas Blackout nos Dormitórios
Estrutura para Ar Condicionado na Sala e Suíte.

Condomínio com Salão de Festas, Academia e Playground no Térreo.
Piscina e Espaço Gourmet com Churrasqueira na Cobertura

Características do imóvel
Área de serviço
Churrasqueira no apartamento
Cozinha
Cozinha americana
Lavanderia
Piso frio
Porcelanato
Sacada
Sala de jantar
Sala de TV
Varanda
Varanda Gourmet

Características do condomínio
Churrasqueira
Fitness
Piscina
Playground
Salão de festas",73,3,1,2,-23.2383157,-45.9035568
403,13,13,Jardim Sul, São José dos Campos,Rua Maurício Cardoso,"Apartamento - Jardim Sul - Residencial Maxximo Resort - 2 Dormitórios - 75m² .

O Residencial Máxximo Resort está localizado no Jardim Sul, possui fácil acesso as principais vias da cidade.

Conheça as Características deste lindo apartamento:

- 75m² Área útil
- 2 Dormitórios sendo uma suíte
- Sala
- Cozinha
- 2 Banheiros
- Área de serviços
- 2 Vagas de garagem

Diferenciais Exclusivos:

- Suíte e varanda espaçosa
- Ar condicionado
- Planejados na cozinha
- Planejados na sala
- Planejados nos quartos
- Iluminação planejada
- Portaria presencial
- Condomínio estilo clube

Lazer no Condomínio:

- Estilo clube, mais de cinquenta itens de lazer 
- Pizza Bar
- Choperia
- Cinema
- Boliche
- Quadra multi esportiva
- Espaço pet
- Espaço mulher
- Espaço pilates
- Redário e lounge
- Coworking
- Playground
- Spa 
- Hidromassagem
- Sala de estudos, biblioteca
- Mini market
- Academia 
- Brinquedoteca 
- Churrasqueira dos esportes
- Circuito ginástica
- Complexo Aquático piscina infantil
- Deck molhado 
- Piscina com raia 
- Forno de pizza elétrico
- Max fitness
- Max gourmet
- Max SPA com hidro e sauna
- Play aventura
- Play baby
- Praça das mães
- Praça kids
- Quadra gramada
- Resort gourmet com churrasqueira
- Salão de estudos
- Salão de festas adulto
- Salão de festas infantil
- Salão de jogos
- SPA, biribol, solarium
- Sports Lounge
- Tenda zen
- Trilha

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial, Floradas de São José, 31 de Março, Jardim Republica, Jardim América, Jardim Satélite, Bosque dos Ypês, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila São Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de pontos comerciais localizados na Zona Sul.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.. ref. 29624 atualizado em 10/08.",75,2,2,2,,
404,14,14,Jardim Paraíso, São José dos Campos,Rua Ilha do Sul,"Excelente Apartamento no Jd America - Localização Excelente
Apenas 1 quadra da Av Bacabal, Mercado Coop e Padaria Flor de Ype

EDIFICIO ESSENCIA PARAISO - ENTREGA EM JUNHO DE 2024
ANDAR ALTO E SOL DA TARDE

Características:
2 Dormitórios sendo 1 Suíte
1 Banheiro Social
Sala Ampla para 2 Ambientes
Sacada com Churrasqueira a Carvão
Cozinha Americana
1 Vaga de Garagem Coberta - Localizada no Térreo

Diferencias:
Piso Porcelanato
Persianas Blackout nos Dormitórios
Estrutura para Ar Condicionado na Sala e Suíte.
Closet na Suíte.

Condomínio com Salão de Festas, Academia e Playground no Térreo.
Piscina e Espaço Gourmet com Churrasqueira na Cobertura

Características do imóvel
Área de serviço
Churrasqueira no apartamento
Cozinha
Cozinha americana
Lavanderia
Piso frio
Porcelanato
Sacada
Sala de jantar
Sala de TV
Varanda
Varanda Gourmet

Características do condomínio
Churrasqueira
Fitness
Piscina
Playground
Salão de festas",60,2,1,2,-23.2383157,-45.9035568
405,0,0,Monte Castelo, São José dos Campos,,"Apartamento com 2 dormitórios à venda, 72 m² por R$ - Monte Castelo - São José dos Campos/SP

72m²
02 Dormitórios, sendo 1 suíte
02 Banheiros
01 Vaga coberta
Móveis planejados (Banheiros, Dormitórios e Cozinha)
Cozinha Americana
Todos os quartos com piso laminado (durafloor)
Fogão com gaz encanado
Valor do condomínio já inclui o consumo de água
Mercadinho inteligente

Aceita financiamento!

*Anúncio sujeito a alteração sem aviso prévio do seu proprietário no que diz respeito ao preço e disponibilidade, na data da consulta pelo interessado.

REF: AP7104 URB -",72,2,1,2,,
406,1,1,Floradas de São José, São José dos Campos,Rua João Fonseca dos Santos,"O apto está localizado no bairro Floradas de São José (Jardim Satélite ) com 48 metros quadrados com 2 quartos e 1 banheiro, fica no segunda andar, portaria 24 hs, vista livre, próximo do Shopping, próximo das avenidas principais.
Contato Eliane Penna corretora",48,2,1,1,,
407,2,2,Jardim Satélite, São José dos Campos,Avenida Cidade Jardim,"Apartamento - Jardim Satélite - Residencial Wonder Cidade Jardim - 3 Dormitórios - 78m².

O Residencial Wonder Cidade Jardim está localizado no Jardim Satélite, possui fácil acesso as principais vias da cidade.

Entrega em Outubro de 2024.

Conheça as características deste lindo apartamento:

- 78m² Área útil
- 3 Dormitórios com três suítes
- Sala
- Cozinha
- 2 Banheiros
- Lavabo
- Área de serviço
- 2 Vagas de garagem

Diferenciais Exclusivos 

- Duas suítes americanas 
- Varanda gourmet
- Andar alto
- Elevador acionado por aplicativo
- Hobby box

Lazer no Condomínio:

- Piscina
- Churrasqueira
- Salão de festas
- Brinquedoteca
- Espaço happy hour
- Quadra esportiva
- Pet care
- Lounge jovem
- Academia

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial, Floradas de São José, 31 de Março, Jardim Republica, Jardim América, Jardim Satélite, Bosque dos Ypês, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila São Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de pontos comerciais localizados na Zona Sul.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.. ref. 64119 atualizado em 10/08.",78,3,2,2,-23.2629313,-45.8910605
408,3,3,Urbanova, São José dos Campos,Avenida Giuseppe Friggi,"Lançamento Jardins do Paratehy
empreendimento exclusivo no que há de melhor no Urbanova.

2 e 3 dormitórios entregue com piso laminado e lazer equipado e decorado!

Você ainda ganha ITBI e Registro Grátis

Aqui você conta com um lazer incrível equipado e decorado e com toda modernidade que a sua família sempre quis.

Chegou a hora de você realizar o seu sonho e morar com segurança, qualidade de vida e muito lazer

Aceita Fgts, Carro e você ainda pode parcelar sua entrada em 40 meses.

- 2 e 3 dormitórios com suíte e sacada
- 2 dorm 60 e 63m2 e 3 Dorm 68m2
- Lazer completo entregue equipado e decorado
- Aceita Fgts e Carro como forma de pagamento!
- Você ganha documentação grátis e piso grátis
- Único empreendimento com bike sharing no Urbanova

Ahhh você pode ainda dividir sua entrada em 40 meses

É oportunidade de verdade, é morar em uma das regiões mais nobres de sjc com facilidade e inúmeros benefícios!

O que você está esperando?

#jardinsparatehyurbanova #grupokaza#imoveis #construtorasouzalima #aptos #sjc #aptosnaplanta #urbanovasjc",60,2,2,2,,
409,4,4,Jardim São Judas Tadeu, São José dos Campos,Avenida São Nicolau,"Oportunidade 

Apartamento Térreo - Residencial Reserva São Judas I - Jardim São Judas Tadeu - 2 Dormitórios - 62m².

O Residencial Reserva São judas I está localizado no Jardim São Judas , possui fácil acesso as principais vias da cidade.

Conheça as características deste apartamento:

- Apartamento térreo 
- 62m²
- 2 Dormitórios sendo uma suíte
- Sala
- Cozinha americana
- 2 Banheiros
- Área de serviços
- 1 Vaga de garagem descoberta

Diferenciais Exclusivos:

- Varanda gourmet com churrasqueira com Cortina de vidro
- Sala com hacker
- Armário dormitório do Casal
- Armário cozinha
- Box de vidros nos banheiros

Lazer no Condomínio:

- Playground
- Salão de festas

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim São Judas, Santo Onofre, São Leopoldo, Vila Iracema, terrenos e casas próximos a via Cambuí, além de pontos comerciais localizados na Zona Sudeste, próximo as principais vias, como Carvalho Pinto, Tamoios.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.",68,2,1,2,,
410,5,5,Jardim Aparecida, São José dos Campos,Rua Jordão Monteiro Ferreira,"Apartamento a venda no centro no Jardim São Diam no Residencial Porto Gallo Atrium 60m² 2 Dormitórios próximo ao COC e entre as avenidas Nelson D´ávila e Paraibuna 

Esse apartamento está localizado no Jardim Aparecida, possui fácil acesso as principais vias da cidade.

Conheça as características deste lindo apartamento:

- 60m²
- 2 Dormitórios
- Sala
- Cozinha
- 1 Banheiro
- Área de serviços
- 1 Vaga de garagem

Diferenciais Exclusivos:

- Armário dormitório
- Armário cozinha
- Portaria 24h

Área de Lazer:

- Salão de festas
- Churrasqueira
- Piscina
- Quadra poliesportiva

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim Oriente, Jardim Colonial, Floradas de São José, 31 de Março, Jardim Republica, Jardim América, Jardim Satélite, Bosque dos Ypês, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila São Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de pontos comerciais localizados na Zona Sul.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.",60,2,1,1,-23.1962473,-45.8821723
411,6,6,Jardim América, São José dos Campos,Rua Koichi Matsumura,"Oportunidade - Apartamento - Jardim América - Residencial Mariana´s Gardem - 3 Dormitórios - 104m².

Conheça o Residencial Mariana´s Garden no Jardim América em São José dos Campos, excelente localização, uma oportunidade imperdível para viver com conforto e praticidade! Este charmoso apartamento de 104m² está estrategicamente localizado próximo à comércios, escolas, shoppings, supermercados, lojas de conveniência, além de ter fácil acesso às principais vias de acesso da cidade.

Conheça as características deste lindo apartamento:

- 104m²
- 3 Dormitórios sendo três suítes
- Sala de tv e jantar
- Cozinha americana
- 3 Banheiros
- Área de serviços
- 2 Vagas de garagem

Diferenciais Exclusivos:

- Cozinha com armários planejados
- 3 Suítes
- Dormitórios amplos
- Varanda gourmet com vista permanente
- Sala ampla com dois ambientes
- Banheiros com box blindex
- Piso laminado na sala e dormitórios
- Piso porcelanato
- Sol da manhã
- Andar alto
- Segurança 24h

Lazer no Condomínio:

- Salão de festas
- Piscina adulto e infantil
- Churrasqueira
- Academia
- Salão de jogos

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial, Floradas de São José, 31 de Março, Jardim República, Jardim América, Jardim Satélite, Bosque dos Ypês, Bosque dos Eucaliptos, Quinta das Flores, Cidade Morumbi, Vila São Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de pontos comerciais localizados na Zona Sul.. ref. 68415 atualizado em 10/08.",104,3,2,3,-23.2263143,-45.8985875
412,7,7,Jardim Portugal, São José dos Campos,Rua Doutor Milton Parodi,"Altos da Baronesa - 70m² - 3dorm - Zona Sul - São José dos Campos 

Localização: o Altos da Baronesa está localizado na Zona Sul, há 5 minutos do SESI, e apenas 7 minutos da Avenida Andrômeda.

Informações do apartamento:
- 70m²
- 3 dormitórios 
- 1suíte 
- 2 banheiros
- 1 vaga 

Informações de Lazer : lazer totalmente completo, com piscina adulto e infantil; brinquedoteca ; espaço fitness ; salão de festa rooftop ; churrasqueira ; espaço gourmet, entre outras variedades de lazer.

Para mais informações entre em contato.",70,3,1,2,-23.258028,-45.881022
413,8,8,Condomínio Residencial Colinas do Paratehy, São José dos Campos,Rua Doutor Luiz Daher,"Conheça o Amarilis, o mais novo Lançamento no Urbanova

Apartamentos De:
- 2 Dormitórios com 65 e 66 metros
- 3 Dormitórios com 72 metros 
- Opcionais de 1 ou 2 vagas

Lazer:

- Espaço Gourmet
- Salão de Festas 
- Piscina Adulto
- Piscina Infantil (com Prainha)
- Playground
- Quadra Poliesportiva
- Salão de Jogos
- Espaço Fitness
 
Diferenciais:

- Entregue com Porcelanato
- Lazer já equipado e Decorado
- Hobby Box
- 2 Elevadores na Torre

Localização:

- O Amarilis está localizado no coração do Urbanova ficando há 5 minutos de Farmácias, Supermercados, 10 minutos do Shopping Colinas, Fácil acesso para o Jardim Aquarius, Rod. Presidente Dutra, Tamoios e muito mais.",72,3,2,2,-23.1841579,-45.9547335
414,9,9,Centro, São José dos Campos,Rua Machado Sidney,"Para participar do LEILÃO VIRTUAL cadastre-se na nossa página: www.leje.com.br. Procure pelo ID 5141.

Para maiores informações acesse o edital e os documentos do imóvel.

• Tipo: Apartamento • Área útil: 158 m² • Área total: 175 m² • Quartos: 4 • Suítes: 2 • Status Ocupado • Garagem: 2 veículos • Andar: 7º

APARTAMENTO COM ÁREA ÚTIL DE 158 M² COM 2 SUÍTES NA REGIÃO CENTRAL DE SÃO JOSÉ DOS CAMPOS - SP.

CONSTA DO LAUDO DE AVALIAÇÃO: Apartamento residencial em bom estado de conservação, com área útil de 175,39 m², composto por 4 dormitórios, sendo 2 suítes, com sala de estar e jantar no formato retangular, cozinha, área de serviço, uma sacada e banheiro social.

Matrícula nº: 4.006 do 1º Cartório de Registro de Imóveis de São José dos Campos.
Cadastro Municipal: 11.0018.0001.0012.
Valor médio do Condomínio: R$ 1.400,00.
Valor médio do IPTU 2024: R$ 157,64 mensais.
Processo nº: 03171.

Formas de Pagamento: À Vista / Parcelado – Entrada de 25% + 30 parcelas mensais.

Envio de propostas de parcelamento: Deve ser realizado antes do início do leilão através do e-mail .
ATENÇÃO: o envio de proposta via e-mail não supre a necessidade da oferta do lance.",158,4,2,2,-23.1914838,-45.8879139
415,10,10,Condomínio Residencial Colinas do Paratehy, São José dos Campos,Avenida Doutor José Vieira Lopes da Costa,"Apartamento - Urbanova - Residencial Bosque Paratehy - 2 Dormitórios - 63,89m².

O Residencial Bosque Paratehy está localizado Colinas do Paratehy no Urbanova, possui fácil acesso às principais vias da cidade.

Conheça as características deste lindo apartamento.

- 63,89m²
- 2 Dormitórios sendo uma suíte
- Sala de estar
- Sala de jantar
- Cozinha (open space)
- 2 Banheiros
- Área de serviços
- 1 Vaga de garagem subsolo

Diferenciais Exclusivos:

- Garagem no subsolo
- Sacada na suíte
- Sacada integrada à sala com possibilidade de colocar churrasqueira ecológica
- Piso laminado na sala e nos quartos, piso frio nas áreas frias como: cozinha, área de serviços, varanda e banheiros
- Persiana de enrolar nas janelas
- Banheiros com ventilação natural
- Capacidade elétrica para instalação de ar condicionado
- Ponto de tv nos ambientes
- Pé direito com 2,70m
- Sol da manhã
- Excelente localização
- Vista panorâmica livre e permanente
- Elevador social e elevador de serviço

Lazer no Condomínio:

- Salão de festas
- Churrasqueira
- Piscina adulto e infantil com borda infinita e deck
- Espaço jovem
- Academia
- Fitness externo
- Coworking
- Brinquedoteca
- Mini campo
- Playground
- Quadra Poliesportiva

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?",64,2 - 3,1 - 2,2,-23.1827844,-45.9503959
416,11,11,Vila Iracema, São José dos Campos,,"Apartamento de 2 dormitórios todo planejado com porcelanato na cozinha e banheiro, pedra marrom absoluto, cozinha toda reformada.
Quartos com planejado e sala com painel.. ref. 50507 atualizado em 10/08.",52,2,1,1,,
417,12,12,Jardim Sul, São José dos Campos,Rua Maurício Cardoso,"O apartamento está localizado no bairro Jardim Sul, Condomínio Jadinatti tem 54 metros quadrados com 2 quartos com armários, sala com sacada, cozinha planejada, 1 banheiro com box/gabinete, 1 vaga de garagem.
Possui playground, salão de festas.
Vai lhe possibilitar curtir os dias mais quentes na piscina, elevador que garante o transporte das suas malas e compras.",54,2,1,1,,
418,13,13,Jardim América, São José dos Campos,Rua Koichi Matsumura,"Apartamento - Jardim América - Residencial Athenas - 3 Dormitórios - 74m².

O Residencial Athenas está localizado no Jardim América, possui fácil acesso às principais vias da cidade.

- 74m² Área útil
- 3 Dormitórios sendo uma suíte
- Sala dois ambientes
- Cozinha americana
- 2 Banheiros
- Área de serviços
- 1 Vaga de garagem

Diferenciais Exclusivos:

- Cozinha com armários planejados, forno e cooktop
- Sacada
- Parede da sala revestida com filete de pedra
- Papel de parede importado e lavável
- Todo em porcelanato
- Porta de vidro na área de serviços
- Aquecedor à gás
- Varanda com vista permanente
- Sol da manhã
- Segurança 24h
- Hobby box

Lazer no Condomínio:

- Piscina adulto e infantil
- 2 Salões de festas
- 4 Churrasqueiras
- 2 Quadras poliesportivas
- Brinquedoteca
- Salão de jogos
- Coworking
- Playground
- Salão de jogos",75,3,1,2,-23.2263143,-45.8985875
419,14,14,Jardim Ismênia, São José dos Campos,Rua Itacarambi,"Apartamento - Jardim Ismênia - 2 quartos - 54 m² - Edifício Up Side 

O Residencial Edifício Up Side está localizado no Jardim Ismênia, possui fácil acesso as principais vias da cidade.

Conheça as características deste apartamento:

- 54m²

- 2 Dormitórios sendo uma suíte

- Sala

- Cozinha

- 1 Banheiro

- Área serviços

- 1 Vaga de garagem

Diferenciais Exclusivos:

- Sala com dois ambientes

- Vaga de garagem coberta

- Sacada com churrasqueira

- Piso laminado

- Andar alto

Lazer no Condomínio:

- Academia

- Churrasqueira

- Salão de festa

- Parquinho

Aceita financiamento",54,2,1,2,-23.1774015,-45.8484563
420,0,0,Condomínio Residencial Colinas do Paratehy, São José dos Campos,Rua Doutor Luiz Daher,"Apartamento - Urbanova - Residencial Life Residence Urbanova - 3 Dormitórios - 109m² - Aceita Permuta.

O Residencial Life Residence está localizado no Urbanova, possui fácil acesso às principais vias da cidade.

Conheça as características deste lindo apartamento:

Prazo de entrega: Janeiro 2025

- 109m² Área útil
- 3 Dormitórios sendo três suítes
- Sala dois ambientes
- Cozinha
- 3 Banheiros
- Área de serviços
- 2 Vagas de garagem

Diferenciais Exclusivos:

- Áreas comuns com iluminação em led
- Varanda gourmet com ponto de água
- Entregue com churrasqueira a carvão na varanda
- Área de serviço oculta
- Pé direito alto
- Hobby box
- 2 Elevadores

Lazer no Condomínio:

- Piscina adulto e infantil
- Salão de festas
- 2 Churrasqueiras
- 2 Salões gourmet
- Salão de jogos digitais
- Brinquedoteca
- Espaço fitness
- Spa com duas saunas
- Hall principal
- Playground
- Quadra poliesportiva

Também temos imóveis no Jardim das Colinas, Urbanova, Vila Ema, Vila Adyanna, Jardim São Dimas, Jardim das Indústrias, Jardim Alvorada, Royal Park, Parque Residencial Aquarius, Chácara Serimbura, Altos da Serra, Jardim do Golfe, Alphaville, Residencial Mônaco, Residencial Monte Carlo, Floradas do Paratehy, Reserva do Paratehy, Sunset Park, Bosque Imperial, Jardim Apolo, Jardim Altos do Esplanada, Recanto da Serra, Eldorado, Moradas da Serra, Mont Serrat, Chácaras do Parayba, Altos da Serra Vl, Pontal da Serra, Portal da Serra, Residencial Jaguary, Piaget, Vernazza, Paesaggio, Pátio Condomínio Club, Esplanada Life, L`essence Jardim Aquarius, Central Park, Grand Club Vila Ema, Abruzzo, Privilege, Premiere Jardim Aquarius, Open View Aquarius entre outros da região.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.. ref. 65729 atualizado em 10/08.",110,3,2,3,-23.1841579,-45.9547335
421,1,1,Jardim Satélite, São José dos Campos,Rua Mário Alves de Almeida,"Apartamento - Jardim Satélite - Residencial Mirella - 3 Dormitórios - 82m².

O Residencial Mirella está localizado na Jardim Satélite, possui fácil acesso às principais vias da cidade.

Conheça as características deste apartamento:

- 82m²
- 3 Dormitórios sendo uma suíte
- Sala dois ambientes
- Cozinha
- 2 Banheiros
- Área de serviços
- 2 Vagas de garagem

Diferenciais Exclusivos:

- 2 Sacadas
- Dormitórios com armários planejados
- Cozinha com armários planejados
- Vagas garagem coberta

Lazer no Condomínio:

- Piscina
- Salão de festas
- Quadra

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Jardim Sul, Parque Industrial, Jardim Oriente, Jardim Colonial, Floradas de São José, 31 de Março, Jardim República, Jardim América, Jardim Satélite, Bosque dos Ypês, Bosque dos Eucaliptos, Quinta das Flores, Jardim Morumbi, Vila São Bento, Jardim Anhembi, casas e apartamentos próximos ao Shopping Vale Sul, além de pontos comerciais localizados na Zona Sul.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.. ref. 63072 atualizado em 10/08.",82,3,2,2,-23.2161228,-45.8885458
422,2,2,Vila Ema, São José dos Campos,,"Apartamento decorado no condomínio Celebrity Vila Ema

em andar alto e com vista livre, são 154m², sendo 3 suítes com sala ampliada (possibilidade de 4 quartos ou escritório) varanda gourmet espaçosa, integrada à sala e cozinha, lavado e despensa. 3 vagas de garagem no subsolo + hobby box.

Ar condicionado inverter quente e frio nas 3 suítes e sala, sistema de som home theater com caixa de som embutido na sala e varanda varanda gourmet. Iluminação em LED. Persianas blackout motorizadas nas janelas, portas e varanda gourmet. Fechamento de vidro nas sacadas com cortinas rolo com acionamento por controle remoto.

O condomínio Celebrity Vila Ema tem área de lazer completa, com piscina adulto e infantil, salão de festas, salão jogos, academia, co-working, entre outros.

Projetado pela arquiteta Jacqueline Fumagalli,

R$ 2.100.000,00 -",154,3,3,4,,
423,3,3,Monte Castelo, São José dos Campos,Avenida Presidente Juscelino Kubitschek,"Apartamento - Monte Castelo - Residencial Escuna - 1 Dormitório Mobiliado - 40m².

O Residencial Escuna está localizado na Monte Castelo, Próximo da Havan, Atacadão, Center Vale.

Conheça as características deste lindo apartamento:

- 40m²
- 1 Dormitório
- Sala com sacada
- Cozinha 
- 1 Banheiro com armário
- Área de serviços
- 1 Vaga de garagem coberta

Diferencias Exclusivos:

- Cozinha com armários
- Elevador
- Mobiliado

Lazer no Condomínio:

- Salão de festas

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis no Monte Castelo, Vila Industrial, Vila São Pedro, Vila Piratininga, casas e apartamentos próximos ao Center Vale Shopping, mercados, farmácias, escolas, Terminal Rodoviário Intermunicipal Frederico Ozanan, 2º distrito policial e estádio Martins Pereira, além de pontos comerciais localizados na Zona Central.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.. ref. 68104 atualizado em 10/08.",40,1,1,1,-23.1775485,-45.8397078
424,4,4,Jardim Oswaldo Cruz, São José dos Campos,Rua República de Israel,"Ao lado do Shopping Centervale em São José dos Campos

- Hobby box (tamanhos entre 0,70m² até 4,00m²) 
- Infraestrutura para ar condicionado nos dormitórios
- Portas com sistema de vedação acústica
- Tomada USB nos dormitórios

O apartamento conta com 2 dormitórios, sendo 1 suíte com persianas embutida, sala para dois ambientes, varanda gourmet integrada a cozinha, área de serviço e banheiro social.
Sala e dormitórios no contrapiso.
Lazer Completo: Piscinas adulto e infantil climatizadas, Churrasqueira, Praça/Horta, Salão de festas, Área Gourmet, Brinquedoteca, Salão de jogos, Fitness, Fitness externo, Mini-quadra de esportes, Playground e Coworking.

O Attuale chegou para atualizar suas definições de residencial e oferecer a oportunidade de se conectar a um novo estilo de vida. Com design moderno, localização privilegiada, a 150m do CenterVale Shopping, inovações que facilitam seu dia a dia e todo o lazer que você e sua família precisam para esquecer da rotina e das preocupações. 
. ref. 20512 atualizado em 10/08.",57,2,2,2,-23.2008318,-45.8830378
425,5,5,Vila Industrial, São José dos Campos,Avenida Presidente Juscelino Kubitschek,"Apartamento - Vila Industrial - Residencial Integração Conjunto Habitacional - 2 Dormitórios - 48m².

O Residencial Integração Conjunto Habitacional está localizado na Vila Industrial, possui fácil acesso as principais vias da cidade.

Conheça as características deste lindo apartamento:

- 48m²
- 2 Dormitórios
- Sala
- Cozinha
- 1 Banheiro
- Área de serviços
- 1 Vaga de garagem coberta

Diferenciais Exclusivos:

- Térreo
- Moveis planejados

Que tal agendar uma visita e conhecer este imóvel hoje mesmo?

Também temos imóveis na Vila Industrial, Motorama, Jardim São Vicente, Campos de São José, Jardim Mariana, SetVille, SetParque, casas e apartamentos próximos a mercados, farmácias, escolas, além de pontos comerciais localizados na Zona Leste.

Seja para vender, alugar ou adquirir um imóvel procure o Grupo Kaza, a sua imobiliária em São José dos Campos.

O Grupo Kaza atua com foco em atender seus clientes com excelência seja em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da região de São José dos Campos.

Vem você também para o Grupo Kaza, excelência em consultoria imobiliária.

As informações contidas neste anúncio foram informadas pelo proprietário (a) do imóvel e possuem seus direitos reservados.
. ref. 62111 atualizado em 10/08.",48,2,1,1,-23.1775485,-45.8397078
