,area,rooms,parking,bathrooms,lat,lon,price
193,74,3,1,2,-23.1955825,-45.8890806,415000
197,76,3,2,1,-23.1909379,-45.886436,430000
198,94,3,2,2,-23.2190226,-45.908767,760000
199,34,1,3,1,-23.1979166,-45.9113619,423153
202,75,2,2,2,-23.2341234,-45.9256624,740000
203,65,2,2,2,-23.2168256,-45.904412,695000
204,81,3,1,2,-23.2351577,-45.9140475,570000
208,54,2,1,2,-23.2028942,-45.950933,479000
209,90,2,2,1,-23.2228195,-45.9104962,900000
213,46,2,1,1,-23.2165405,-45.8512413,230000
214,50,2,1,1,-23.256849,-45.8316624,202000
215,58,2,1,2,-23.2499985,-45.9083387,340000
216,63,2,1,2,-23.2502173,-45.9170663,437000
217,70,3,1,2,-23.1775485,-45.8397078,372000
218,96,3,2,3,-23.2151853,-45.9090412,1100000
219,63,2,1,2,-23.2041152,-45.8853984,490000
220,62,2,1,2,-23.2402544,-45.8933781,385000
221,40,1,1,1,-23.2052682,-45.8881552,320000
224,183,4,3,6,-23.2151853,-45.9090412,1700000
227,74,3,1,1,-23.2200575,-45.8896572,560000
228,96,3,1,2,-23.2043397,-45.8882488,520000
229,50,2,1,2,-23.2432353,-45.8932115,390000
230,116,4,2,3,-23.2629313,-45.8910605,640000
232,68,2,2,2,-23.2308616,-45.8942314,480000
233,33,1,1,1,-23.1985042,-45.9128647,420000
234,110,3,2,3,-23.2629313,-45.8910605,520000
235,143,3,2,3,-23.2221126,-45.9095335,1750000
237,186,4,3,6,-23.2151853,-45.9090412,1400000
238,81,3,2,2,-23.1946478,-45.8805902,658000
241,95,3,2,2,-23.2131162,-45.9078311,850000
242,92,3,2,3,-23.2131162,-45.9078311,780000
243,48,2,1,1,-23.2341234,-45.9256624,390000
244,122,4,2,4,-23.2341234,-45.9256624,1170000
245,50,2,1,2,-23.1843507,-45.9497004,385000
246,278,4,3,6,-23.2082214,-45.9083253,3400000
248,54,2,1,2,-23.2380792,-45.9010799,340000
249,58,2,2,2,-23.2008318,-45.8830378,750000
250,48,2,1,1,-23.2645046,-45.8897409,245000
251,75,2,2,2,-23.2341234,-45.9256624,740000
252,60,2,1,2,-23.2380792,-45.9010799,410000
253,114,4,2,3,-23.2629313,-45.8910605,615000
254,142,3,2,4,-23.2327074,-45.9275569,1600000
256,233,4,3,5,-23.2034236,-45.9105214,2700000
257,98,3,1,2,-23.2308616,-45.8942314,650000
258,66,2,1,2,-23.2285629,-45.8969811,450000
260,50,2,1,1,-23.2505934,-45.8275902,255000
262,62,2,2,1,-23.2202195,-45.8937188,487000
264,89,3,2,2,-23.2534054,-45.9166353,795000
265,73,3,2,2,-23.2105138,-45.8514249,430000
266,62,2,1,2,-23.2400181,-45.9134951,553000
267,46,2,1,1,-23.2165405,-45.8512413,235000
268,55,2,1,2,-23.177608,-45.859793,405000
269,105,4,2,3,-23.2210113,-45.8861064,692000
270,63,2,1,2,-23.2041152,-45.8853984,440000
271,106,3,2,3,-23.2198567,-45.8913555,975200
