,area,rooms,parking,bathrooms,lat,lon,price
776,64,2,2,2,-23.2402544,-45.8933781,399900
778,76,3,2,2,-23.2213004,-45.8883248,478000
780,67,2,2,2,-23.2043732,-45.8959331,790000
781,147,4,2,5,-23.2087038,-45.8998756,1450000
782,83,3,2,4,-23.2067366,-45.9103019,1041569
784,125,3,2,3,-23.2228195,-45.9104962,1380000
786,78,3,2,2,-23.2154269,-45.908121,680000
787,84,3,1,2,-23.2216712,-45.9085912,650000
788,50,2,1,1,-23.214223,-45.851209,280000
789,63,2,1,2,-23.2499985,-45.9083387,420000
790,65,2,2,2,-23.2168256,-45.904412,695000
791,62,2,1,2,-23.1987975,-45.9352675,460000
792,90,3,2,3,-23.2221126,-45.9095335,590000
794,167,3,2,4,-23.2082214,-45.9083253,2500000
804,59,2,1,1,-23.2483349,-45.9081992,370000
805,42,2,1,1,-23.1698499,-45.7893012,190000
806,41,1,2,1,-23.2082214,-45.9083253,380000
807,80,3,1,2,-23.237943,-45.9011183,485000
808,40,2,1,1,-23.1698499,-45.7893012,225000
810,120,3,2,3,-23.2052682,-45.8881552,950000
812,142,4,1,4,-23.2140071,-45.841297,1000000
814,60,2,1,2,-23.2240746,-45.9180774,375000
816,440,4,3,4,-23.2057437,-45.9034166,2660000
818,64,2,2,1,-23.2050581,-45.9048126,550000
821,211,4,2,4,-23.2453896,-45.9090035,800000
823,52,2,1,1,-23.2505639,-45.8914715,290000
825,82,3,3,2,-23.2161228,-45.8885458,640000
826,33,1,1,1,-23.1979166,-45.9113619,471226
828,33,1,1,1,-23.1979166,-45.9113619,469000
829,78,3,2,2,-23.2092982,-45.9032947,500000
830,65,2,1,2,-23.2216712,-45.9085912,460000
831,61,2,1,1,-23.2307302,-45.8975618,400000
832,68,2,1,1,-23.1757366,-45.8180771,300000
833,105,3,2,2,-23.2052682,-45.8881552,650000
834,63,2,3,2,-23.2415541,-45.9145547,430000
836,102,4,2,2,-23.2534054,-45.9166353,700000
837,58,2,1,2,-23.1909379,-45.886436,371000
838,60,2,1,2,-23.1841579,-45.9547335,399901
839,245,4,3,5,-23.2082214,-45.9083253,2600000
840,110,3,2,2,-23.2071612,-45.9009565,1199000
843,67,2,1,1,-23.1504945,-45.9008396,280000
845,64,3,1,2,-23.1805844,-45.8471383,380000
846,48,1,1,1,-23.2190226,-45.908767,505470
847,177,4,4,4,-23.2012499,-45.8834841,960000
849,80,3,1,2,-23.2210113,-45.8861064,480000
850,53,2,1,2,-23.2353431,-45.8919376,390000
852,33,1,1,1,-23.1979166,-45.9113619,469000
853,78,3,2,2,-23.2092982,-45.9032947,500000
855,105,4,2,3,-23.2210113,-45.8861064,692000
856,194,3,3,5,-23.2127421,-45.9069145,2400000
857,48,2,1,1,-23.2629313,-45.8910605,265000
859,60,2,1,1,-23.2240746,-45.9180774,350000
861,60,2,1,2,-23.2202839,-45.9064383,598000
865,54,2,1,2,-23.1839915,-45.8762111,318000
867,60,2,1,2,-23.2308616,-45.8942314,430000
868,54,2,1,2,-23.2260246,-45.8795999,349000
869,99,3,2,3,-23.2202839,-45.9064383,960000
871,176,3,3,5,-23.2057437,-45.9034166,1600000
875,77,3,2,1,-23.2220332,-45.9199542,615000
876,55,2,1,1,-23.1982391,-45.8827334,410000
879,44,2,1,1,-23.1836107,-45.8043034,240000
880,51,2,1,1,-23.185844,-45.8684832,230000
881,48,2,1,1,-23.2341234,-45.9256624,350000
882,118,3,2,2,-23.2032757,-45.8935241,960000
883,100,3,1,2,-23.1982391,-45.8931441,721000
884,124,4,3,3,-23.1979166,-45.9113619,1090000
886,156,4,3,3,-23.2327074,-45.9275569,1400000
888,52,2,1,1,-23.2432353,-45.8932115,320000
889,51,2,1,2,-23.1827844,-45.9503959,441975
890,74,3,1,1,-23.23324,-45.8887626,550000
891,147,3,2,4,-23.2087038,-45.8998756,1580000
892,33,1,1,1,-23.1979166,-45.9113619,467000
893,60,2,1,2,-23.1841579,-45.9547335,419900
895,33,1,1,1,-23.1956647,-45.8937347,237414
897,125,4,2,3,-23.2044684,-45.9010444,639000
898,105,3,2,2,-23.2027939,-45.8950075,910000
899,122,3,2,2,-23.2341234,-45.9256624,1230000
900,143,3,2,2,-23.2221126,-45.9095335,1650000
902,93,3,1,2,-23.1903996,-45.8891452,420000
905,52,2,1,1,-23.2432353,-45.8932115,320000
906,51,2,1,2,-23.1827844,-45.9503959,441975
907,64,2,1,2,-23.2244165,-45.9087258,600000
908,56,2,1,1,-23.2602632,-45.9113258,372000
909,74,3,1,1,-23.23324,-45.8887626,550000
910,147,3,2,4,-23.2087038,-45.8998756,1580000
911,33,1,1,1,-23.1979166,-45.9113619,467000
912,60,2,1,2,-23.1841579,-45.9547335,419900
914,133,2,2,3,-23.2092982,-45.9032947,1500000
915,120,4,2,3,-23.2629313,-45.8910605,954000
916,143,3,2,2,-23.2221126,-45.9095335,1650000
917,75,3,2,1,-23.2426379,-45.9152427,720000
918,46,2,1,1,-23.1836107,-45.8043034,235000
919,62,2,1,2,-23.2092982,-45.9032947,615201
920,96,3,1,2,-23.1982391,-45.8931441,490000
921,136,4,3,3,-23.2028182,-45.9003141,1290000
923,69,2,1,1,-23.2234015,-45.9108105,860000
924,68,3,1,1,-23.2210113,-45.8861064,424000
925,122,3,2,3,-23.2153165,-45.9095676,1050000
926,42,2,1,1,-23.1982095,-45.7950202,182000
929,150,3,2,5,-23.2071612,-45.9009565,1540000
930,183,4,3,6,-23.2151853,-45.9090412,1699000
931,156,4,3,3,-23.2327074,-45.9275569,1400000
932,60,2,1,2,-23.1843507,-45.9497004,419900
933,56,2,1,2,-23.2008318,-45.8830378,520000
934,125,3,1,3,-23.2032757,-45.8935241,550000
937,80,3,1,1,-23.1985042,-45.9128647,670000
938,102,3,2,2,-23.2027939,-45.8950075,851000
940,65,2,2,2,-23.2168256,-45.904412,690000
941,49,2,1,2,-23.2183721,-45.8486469,340000
942,74,3,1,1,-23.1417569,-45.7825794,426000
944,168,4,2,2,-23.1921333,-45.8926102,970000
945,410,4,5,5,-23.2170569,-45.9088967,4800000
947,89,3,2,2,-23.2052682,-45.8881552,725000
949,115,2,1,2,-23.1835214,-45.8878957,425000
950,65,2,2,1,-23.2050581,-45.9048126,555000
952,120,3,1,2,-23.2200324,-45.8872035,410000
953,40,2,1,1,-23.20709,-45.7395683,180000
954,59,3,1,2,-23.2002824,-45.8940021,435000
955,76,3,2,1,-23.2021984,-45.8610226,520000
957,157,4,2,4,-23.1979166,-45.9113619,2067000
959,100,3,2,3,-23.2341234,-45.9256624,990000
960,142,3,3,3,-23.2327074,-45.9275569,1350000
962,47,2,1,1,-23.2505934,-45.8275902,230000
964,56,2,1,2,-23.2183721,-45.8486469,351000
966,80,3,1,2,-23.237943,-45.9011183,465000
969,65,3,1,2,-23.176123,-45.8595635,370390
971,55,2,1,1,-23.1966424,-45.8804728,382000
973,152,3,2,4,-23.2058824,-45.9025149,1665000
976,110,3,2,3,-23.2071612,-45.9009565,1199000
977,73,3,1,2,-23.2041152,-45.8853984,470000
978,140,3,3,5,-23.2327074,-45.9275569,1275000
979,108,3,2,2,-23.2202839,-45.9064383,1060000
986,48,2,1,1,-23.2629313,-45.8910605,265000
987,73,3,1,2,-23.1775485,-45.8397078,510000
990,267,5,3,6,-23.2157422,-45.9060993,2050000
991,56,2,1,2,-23.2402544,-45.8933781,369900
993,90,3,2,2,-23.221044,-45.909243,820000
997,115,3,2,2,-23.2092982,-45.9032947,750000
998,147,3,3,5,-23.2221126,-45.9095335,1380000
1000,78,3,2,2,-23.2265205,-45.8968879,580000
1002,82,2,2,2,-23.1976423,-45.8819124,580000
1005,119,4,3,1,-23.1968045,-45.8943248,773000
1007,91,3,2,3,-23.2034236,-45.9105214,1133800
1009,80,2,2,2,-23.2228195,-45.9104962,945000
1012,65,2,1,1,-23.2534054,-45.9166353,450000
1013,58,2,1,2,-23.1772026,-45.8450329,352000
1014,52,2,1,1,-23.2004399,-45.8826047,480000
1015,94,3,2,2,-23.2461706,-45.9154222,850000
1016,40,1,1,1,-23.2032757,-45.8935241,315000
1020,76,2,1,2,-23.2534054,-45.9166353,750000
1021,66,2,2,2,-23.2534054,-45.9166353,710000
1023,70,3,3,2,-23.2092982,-45.9032947,710000
1024,50,2,1,1,-23.1775485,-45.8397078,195000
1025,64,2,1,2,-23.2341477,-45.9050416,660000
1026,61,2,2,2,-23.2213004,-45.8883248,425000
1027,100,3,2,2,-23.1944997,-45.8856908,640000
1028,56,2,1,2,-23.178166,-45.8593723,429556
1031,46,2,1,1,-23.1836107,-45.8043034,243800
1033,61,2,1,2,-23.2210113,-45.8861064,400000
1034,140,4,2,3,-23.2071612,-45.9009565,1300000
1035,194,3,3,5,-23.2127421,-45.9069145,2400000
1036,75,2,2,2,-23.1956647,-45.8937347,955000
1039,54,2,1,1,-23.2505639,-45.8914715,325000
1042,55,2,1,1,-23.2028182,-45.9003141,500000
1043,111,3,2,2,-23.1976423,-45.8819124,800000
1046,160,3,2,4,-23.2170569,-45.9088967,2200000
1047,48,3,1,2,-23.2499985,-45.9083387,430000
1049,156,3,3,4,-23.2327074,-45.9275569,1700000
1050,87,2,2,3,-23.2078926,-45.8966025,1100000
1058,50,2,1,1,-23.2253021,-45.9016713,230000
1060,83,2,2,2,-23.215405,-45.9074207,750000
1062,65,2,2,1,-23.2050581,-45.9048126,590000
1064,65,2,1,1,-23.2267306,-45.9036805,525000
1070,97,3,2,2,-23.2247129,-45.9052256,585000
1075,54,2,1,2,-23.1843507,-45.9497004,375000
1076,76,3,1,4,-23.2629313,-45.8910605,765000
1080,183,4,3,6,-23.2151853,-45.9090412,1699000
1082,108,2,1,1,-23.1835214,-45.8878957,380000
1083,77,2,1,1,-23.2466231,-45.8948605,320000
1085,66,2,1,2,-23.2361199,-45.9026307,515000
1087,42,2,1,1,-23.1775485,-45.8397078,190000
1088,87,3,2,2,-23.1624499,-45.8939949,580000
1089,75,2,2,2,-23.2341234,-45.9256624,880000
1092,73,3,2,2,-23.2008318,-45.8830378,670000
1094,100,2,2,3,-23.2341234,-45.9256624,890000
1095,33,1,1,1,-23.1979166,-45.9113619,471226
1097,80,2,2,2,-23.2409567,-45.914431,680000
1098,103,3,2,2,-23.2027939,-45.8950075,900000
1099,53,2,1,1,-23.1780209,-45.8803006,360000
1103,98,3,1,1,-23.2043397,-45.8882488,520000
1106,139,3,2,1,-23.1961965,-45.8841151,640000
1107,80,3,2,2,-23.2400181,-45.9134951,640000
1108,76,3,1,1,-23.23324,-45.8887626,450000
1109,122,3,2,3,-23.2341234,-45.9256624,1190000
1110,127,4,2,4,-23.1979166,-45.9113619,990000
1115,63,3,2,2,-23.2402544,-45.8933781,419900
1116,95,3,1,2,-23.1750798,-45.8859774,380000
1117,50,2,1,1,-23.2253021,-45.9016713,230000
1118,160,3,3,3,-23.2221126,-45.9095335,1200000
1119,90,3,2,3,-23.2221126,-45.9095335,590000
1120,70,3,3,2,-23.2092982,-45.9032947,710000
1123,122,3,2,3,-23.2327074,-45.9275569,1250000
1125,267,5,3,6,-23.2157422,-45.9060993,2050000
1127,65,2,1,1,-23.1754125,-45.8567745,265000
1128,56,2,1,1,-23.2008318,-45.8830378,520000
1129,50,2,1,1,-23.260462,-45.8971935,299900
1130,63,3,2,2,-23.2161228,-45.8885458,600000
1132,60,2,1,2,-23.237943,-45.9011183,389000
1135,49,2,1,1,-23.1939714,-45.8981587,313000
1137,48,2,1,1,-23.2505934,-45.8275902,195000
1138,65,3,2,2,-23.1827844,-45.9503959,450000
1142,65,2,1,2,-23.2400181,-45.9134951,584390
1143,48,2,1,2,-23.2400181,-45.9134951,375000
1146,46,2,1,1,-23.1698499,-45.7893012,180000
1148,68,3,1,2,-23.2213004,-45.8883248,371000
1151,57,2,1,1,-23.2008318,-45.8830378,505000
1152,75,2,2,2,-23.2151853,-45.9090412,798000
1154,55,2,1,2,-23.2534054,-45.9166353,550000
1155,115,4,2,3,-23.2629313,-45.8910605,660000
1156,99,3,2,3,-23.2202839,-45.9064383,960000
1157,48,2,1,1,-23.1745967,-45.7865609,160000
1158,53,2,1,1,-23.1534653,-45.9029443,195000
1160,570,1,2,1,-23.2092982,-45.9032947,745000
1161,81,2,1,2,-23.2202839,-45.9064383,800000
1164,66,3,2,2,-23.2341234,-45.9256624,489846
1165,69,3,1,2,-23.2499985,-45.9083387,465000
1167,147,3,2,4,-23.2087038,-45.8998756,1422000
1169,88,3,2,2,-23.253497,-45.8829921,700000
1170,245,4,3,5,-23.2082214,-45.9083253,2600000
1172,80,3,2,2,-23.1961965,-45.8841151,372000
1173,56,1,1,1,-23.1921333,-45.8926102,360000
1175,114,4,2,1,-23.2205233,-45.9051222,658000
1176,96,3,2,3,-23.2153165,-45.9095676,960000
1177,65,3,1,2,-23.214223,-45.851209,371000
1178,60,2,1,1,-23.2240746,-45.9180774,360000
1182,33,1,1,1,-23.1956647,-45.8937347,237414
1184,64,2,1,2,-23.2013346,-45.9462429,580000
1186,100,3,1,1,-23.197075,-45.8888198,450000
1188,68,2,2,2,-23.2092982,-45.9032947,515000
1192,47,2,1,1,-23.1579879,-45.8933432,200000
1194,66,2,1,2,-23.1772014,-45.8853048,356000
1195,85,3,1,1,-23.195438,-45.8943621,550000
1197,80,2,2,1,-23.2038811,-45.9021055,904945
1198,62,2,1,2,-23.2285629,-45.8969811,365000
1199,259,4,3,6,-23.2082214,-45.9083253,3250000
1200,120,4,2,4,-23.2261461,-45.9074786,1715839
1201,156,3,3,3,-23.2327074,-45.9275569,1430000
1202,62,2,1,2,-23.2285629,-45.8969811,365000
1204,65,2,1,2,-23.2319718,-45.8942925,385000
1205,40,1,1,1,-23.1775485,-45.8397078,293000
1207,80,3,1,2,-23.2220332,-45.9199542,615000
1215,60,3,2,2,-23.2629313,-45.8910605,429900
1216,105,3,2,3,-23.2071612,-45.9009565,890000
1217,43,1,1,1,-23.2223764,-45.8856605,286200
1219,65,2,1,1,-23.2240746,-45.9180774,350000
1220,79,2,2,1,-23.2311239,-45.9066157,611000
1223,40,1,1,1,-23.2034889,-45.8845846,300000
1226,66,3,6,1,-23.2327074,-45.9275569,361000
1228,56,2,1,2,-23.1956647,-45.8937347,400000
1230,182,4,4,4,-23.2071612,-45.9009565,1969000
1233,55,2,1,1,-23.202293,-45.906894,460000
1234,54,2,1,2,-23.176123,-45.8595635,335001
1235,81,3,1,2,-23.1970974,-45.8881419,430000
1245,73,2,2,2,-23.2038811,-45.9021055,816573
1247,65,3,1,2,-23.2213004,-45.8883248,350000
1249,58,2,1,2,-23.159038,-45.8933258,360000
1252,49,1,1,1,-23.1968045,-45.8943248,373000
1260,52,2,1,1,-23.2432353,-45.8932115,340000
1261,147,4,2,5,-23.2087038,-45.8998756,1450000
1262,53,2,1,1,-23.2645046,-45.8897409,235000
1263,56,2,1,2,-23.1911762,-45.890048,360000
1264,60,2,1,1,-23.2345204,-45.9005088,370000
1267,47,2,1,1,-23.2662638,-45.8865331,220000
1269,40,1,1,1,-23.1968045,-45.8943248,360000
1273,78,1,1,2,-23.2157422,-45.9060993,750000
1277,55,2,1,1,-23.2206945,-45.9101028,590000
1281,50,2,2,1,-23.1873359,-45.7967809,175000
1283,118,3,1,2,-23.2029298,-45.8920947,795000
1284,350,4,3,4,-23.1970039,-45.9084535,3400000
1285,48,2,1,1,-23.198815,-45.7895881,190000
1286,77,3,1,2,-23.2200575,-45.8896572,530000
1289,82,3,2,2,-23.2426379,-45.9152427,760000
1290,193,4,4,5,-23.2170569,-45.9088967,2800000
1291,100,3,1,1,-23.197075,-45.8888198,450000
1293,85,2,2,2,-23.2629313,-45.8910605,739000
1296,146,4,2,4,-23.20281,-45.8926001,950000
1304,150,3,4,4,-23.1976423,-45.8819124,1100000
1305,143,3,2,3,-23.2221126,-45.9095335,1550000
1306,109,3,2,3,-23.1841579,-45.9547335,795000
1307,123,3,2,2,-23.2341234,-45.9256624,1220000
1308,47,2,1,1,-23.2434773,-45.9058528,250000
1311,70,2,1,2,-23.2400181,-45.9134951,450000
1314,63,2,2,1,-23.2534054,-45.9166353,650000
1315,57,2,1,1,-23.2505934,-45.8275902,200000
1316,108,3,2,3,-23.2081295,-45.8916807,890000
1317,44,2,1,1,-23.2342151,-45.912516,299000
1318,62,2,2,2,-23.2202195,-45.8937188,415000
1319,45,2,1,1,-23.2265205,-45.8968879,230000
1324,87,3,2,2,-23.2296561,-45.8785953,700000
1327,51,2,1,1,-23.2034889,-45.8845846,282000
1332,90,3,2,3,-23.2228195,-45.9104962,955000
1334,70,3,2,2,-23.1841579,-45.9547335,595000
1335,194,3,3,5,-23.2127421,-45.9069145,2300000
1337,51,2,1,1,-23.2034889,-45.8845846,282000
1341,45,2,1,1,-23.1676853,-45.8939214,190000
1342,43,2,1,1,-23.2341234,-45.9256624,330000
1345,99,3,2,1,-23.2213004,-45.8883248,720000
1349,133,3,2,3,-23.2082214,-45.9083253,1700000
1352,52,2,1,1,-23.2227325,-45.8949678,371000
1353,68,3,1,2,-23.2534054,-45.9166353,415000
1355,45,2,1,1,-23.1698499,-45.7893012,180200
1357,77,3,2,2,-23.2050581,-45.9048126,700000
1359,63,1,1,1,-23.2041152,-45.8853984,478001
1360,55,2,1,2,-23.2534054,-45.9166353,600000
1361,107,3,2,3,-23.2082214,-45.9083253,1150000
1364,183,4,3,6,-23.2151853,-45.9090412,1699000
1366,64,2,1,2,-23.2013346,-45.9462429,580000
1367,90,3,1,2,-23.2223764,-45.8856605,350000
1370,50,2,1,1,-23.2502173,-45.9170663,295000
1371,80,3,2,2,-23.2050581,-45.9048126,718000
1379,156,3,3,3,-23.2327074,-45.9275569,1430000
1380,120,3,2,4,-23.2038811,-45.9021055,1650000
1391,90,3,2,2,-23.221044,-45.909243,990000
1393,66,2,1,1,-23.2409567,-45.914431,240000
1395,82,3,2,2,-23.2161228,-45.8885458,555000
1403,90,3,1,2,-23.2228195,-45.9104962,910000
1406,63,2,1,2,-23.2244165,-45.9087258,680000
1409,167,3,2,3,-23.2082214,-45.9083253,2500000
1411,73,2,2,2,-23.2038811,-45.9021055,816573
1412,65,3,1,2,-23.2213004,-45.8883248,345000
1418,53,2,1,2,-23.1678517,-45.8357389,240000
1419,48,1,1,1,-23.2028942,-45.950933,260000
1425,143,3,2,3,-23.2221126,-45.9095335,1550000
1428,33,1,1,1,-23.1979166,-45.9113619,456000
1430,57,3,1,2,-23.2213004,-45.8883248,370000
1433,108,3,2,1,-23.2174699,-45.9045629,850000
1434,63,3,2,1,-23.2499985,-45.9083387,400000
1436,72,2,2,2,-23.1417569,-45.7825794,385000
1438,48,2,1,1,-23.0784079,-44.961914,297000
1439,194,3,3,3,-23.2127421,-45.9069145,2850000
1440,82,3,2,2,-23.2161228,-45.8885458,521900
1441,267,5,3,6,-23.2157422,-45.9060993,2050000
1442,50,2,1,1,-23.2349354,-45.9160047,240000
1447,70,2,2,2,-23.2043732,-45.8959331,800000
1448,79,2,2,2,-23.2311239,-45.9066157,531832
1449,75,2,1,2,-23.1982391,-45.8827334,640000
1452,67,2,1,1,-23.2602632,-45.9113258,351450
1454,98,2,2,3,-23.2190993,-45.9082337,1700000
1455,143,3,2,3,-23.2221126,-45.9095335,1650000
1456,70,3,2,2,-23.1841579,-45.9547335,595000
1457,45,1,1,1,-23.2007671,-45.8882887,269000
1458,48,2,1,1,-23.2400181,-45.9134951,299000
1459,85,3,2,2,-23.1767396,-45.8279302,380000
1463,75,2,1,2,-23.1982391,-45.8827334,640000
1464,43,2,1,1,-23.2710602,-45.8625975,200000
1467,143,3,2,2,-23.2221126,-45.9095335,1650000
1469,90,2,2,1,-23.2228195,-45.9104962,900000
1470,155,3,2,4,-23.2071612,-45.9009565,1350000
1474,62,2,2,2,-23.2202195,-45.8937188,487000
1478,90,3,2,1,-23.1970039,-45.9084535,890000
1479,62,2,2,2,-23.2202195,-45.8937188,450000
1480,50,2,1,1,-23.2253021,-45.9016713,234000
1481,77,3,2,2,-23.1985042,-45.9128647,540000
1483,110,3,2,3,-23.2071612,-45.9009565,750000
1484,82,3,2,2,-23.2161228,-45.8885458,521900
1485,90,3,2,2,-23.2629313,-45.8910605,795000
1486,245,4,3,5,-23.2082214,-45.9083253,2600000
1487,85,3,1,2,-23.2216712,-45.9085912,650000
1491,54,2,1,1,-23.1715281,-45.7891455,215000
1493,82,2,2,2,-23.1985042,-45.9128647,744000
1494,58,2,1,2,-23.2721017,-45.8642725,215000
1495,82,3,1,2,-23.1970974,-45.8881419,578000
1497,73,2,1,1,-23.1909379,-45.886436,390000
